sondering_id,index,pkey_sondering,sondeernummer,x,y,start_sondering_mtaw,diepte_sondering_tot,diepte,diepte_mtaw,qc,fs,qtn,rf,fr,icn,sbt,ksbt,lithostrat_id,dist
4614,313815,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.32,38.4,12.152,0.231,79.16299457629796,1.9009216589861753,1.95540104538552,2.180224,5.0,2.1092e-06,Lede,0.0
4614,313816,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.33,38.39,12.125,0.245,78.61850298191484,2.020618556701031,2.0786968390045266,2.200858,5.0,1.8255e-06,Lede,0.0
4614,313817,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.34,38.379999999999995,12.099,0.258,78.11760157516119,2.132407636994793,2.193872524746176,2.219257,5.0,1.6049e-06,Lede,0.0
4614,313818,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.35,38.37,12.099,0.278,77.69476496856663,2.2977105545912884,2.3639812455718134,2.24385,5.0,1.3511e-06,Lede,0.0
4614,313819,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.36,38.36,12.055,0.282,77.24911028166414,2.3392783077561177,2.4070433075643973,2.25118,5.0,1.2836e-06,Lede,0.0
4614,313820,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.37,38.349999999999994,11.992,0.286,76.664023062049,2.384923282188125,2.4544271717641264,2.259526,5.0,1.2107e-06,Lede,0.0
4614,313821,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.38,38.34,11.936,0.287,76.18548642063732,2.4044906166219837,2.4749468368610206,2.264011,5.0,1.1733e-06,Lede,0.0
4614,313822,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.39,38.33,11.841,0.288,75.41855397440743,2.4322270078540664,2.504129208269228,2.270721,5.0,1.1195e-06,Lede,0.0
4614,313823,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.4,38.32,11.758,0.29,74.7251548460021,2.466405851335261,2.5398940208869973,2.277925,5.0,1.0644e-06,Lede,0.0
4614,313824,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.41,38.31,11.667,0.297,73.89138257504595,2.545641553098483,2.622147433203881,2.291222,5.0,9.698e-07,Lede,0.0
4614,313825,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.42,38.3,11.437,0.305,72.02588430043924,2.6667832473550757,2.748641920877319,2.313626,5.0,8.29e-07,Lede,0.0
4614,313826,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.43,38.29,11.306,0.308,70.975488176706,2.7242172297894927,2.8088904666324686,2.324827,5.0,7.665e-07,Lede,0.0
